split_col	model	feature_family	train_n	valid_n	test_n	train_pos_rate	valid_pos_rate	test_pos_rate	threshold_from_valid	macro_f1	balanced_accuracy	auroc	auprc	auroc_ci_low	auroc_ci_high	auprc_ci_low	auprc_ci_high
site_disjoint_split	sequence_mlp	pair	2677	574	573	0.6977960403436683	0.6445993031358885	0.7120418848167539	0.6777687072753906	0.6516930244878139	0.6723484848484849	0.726864230540701	0.8567938672154568	0.6891269580530587	0.7713855474563084	0.82256977848253	0.8903249182421361
site_disjoint_split	mechanism_logistic	mechanism	2677	574	573	0.6977960403436683	0.6445993031358885	0.7120418848167539	0.44385281969279416	0.5383012419771609	0.544229055258467	0.5710932857991682	0.7555855433090541	0.5161558808236214	0.6185164232780961	0.7071522760895622	0.8031123811954155
site_disjoint_split	combined_shuffled_labels	negative_control	2677	574	573	0.6977960403436683	0.6445993031358885	0.7120418848167539	0.30524429933461034	0.5232772653282691	0.524331550802139	0.5392156862745098	0.7356897773377169	0.48694819304597936	0.5947254931453548	0.6915947651939758	0.7929830111749505
pmid_disjoint_split	majority_baseline	none	2677	574	573	0.6992902502801643	0.6794425087108014	0.6701570680628273	0.6992902502801643	0.4012539184952978	0.5	0.5	0.6701570680628273	0.5	0.5	0.6334642233856893	0.7085514834205934
pmid_disjoint_split	degree_only	degree	2677	574	573	0.6992902502801643	0.6794425087108014	0.6701570680628273	0.5348357690495433	0.5748006868637311	0.6217551256613756	0.6656952711640212	0.8178615038366495	0.6217666360191048	0.7076742845952279	0.7763378173139882	0.8544883050779701
pmid_disjoint_split	logistic	combined	2677	574	573	0.6992902502801643	0.6794425087108014	0.6701570680628273	0.2929970338534185	0.6109158460255639	0.6089823082010581	0.6865630511463845	0.8213236605820198	0.6399453095016173	0.7282437665295949	0.7804082457777172	0.8578603681520145
pmid_disjoint_split	random_forest	combined	2677	574	573	0.6992902502801643	0.6794425087108014	0.6701570680628273	0.6025321136834355	0.6484762883067968	0.6443865740740741	0.7372271825396826	0.8600363667904782	0.6982905146146339	0.7708130360387712	0.8308575813337059	0.8901195302906982
pmid_disjoint_split	site_window_logistic	site	2677	574	573	0.6992902502801643	0.6794425087108014	0.6701570680628273	0.35961767723836335	0.5429736418391078	0.5440228174603174	0.5563684964726631	0.7042743240634479	0.5107923686479456	0.612105022423736	0.6531908609789104	0.7535068000644932
pmid_disjoint_split	sequence_mlp	pair	2677	574	573	0.6992902502801643	0.6794425087108014	0.6701570680628273	0.6255335807800293	0.6176596826725049	0.6140252976190476	0.7041032848324515	0.8410411247713613	0.6610711650863166	0.7426426794040776	0.7994005220637632	0.8708775171918982
pmid_disjoint_split	mechanism_logistic	mechanism	2677	574	573	0.6992902502801643	0.6794425087108014	0.6701570680628273	0.4769530468787693	0.6083846998500303	0.6204737103174603	0.6587852733686067	0.78548474603903	0.6064753414677259	0.700083645249374	0.7359816884613317	0.8338385584217016
pmid_disjoint_split	combined_shuffled_labels	negative_control	2677	574	573	0.6992902502801643	0.6794425087108014	0.6701570680628273	0.13542863915104972	0.4841920177682057	0.5064070767195767	0.48379629629629634	0.6743797576067927	0.432802158039076	0.5248527208913425	0.6291710271470271	0.7273816246501906
