split_col	model	train_n	valid_n	test_n	train_pos_rate	valid_pos_rate	test_pos_rate	valid_threshold_mcc	auprc	auroc	mcc	macro_f1	balanced_accuracy	brier	ece	precision_at_50	auprc_ci_low	auprc_ci_high
S3_source_publication_split	class_prior	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.69331341053418	0.6631762652705061	0.5	0.0	0.3987408184679958	0.5	0.22428175397701325	0.030137145263673837	0.68	0.6203315881326352	0.705541012216405
S3_source_publication_split	source_assay_only	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.4102762840922324	0.6751955287154248	0.5410008181074447	0.031419468222189065	0.44601100913865394	0.5074038723752385	0.26213010328683667	0.19105610412173427	0.66	0.6394593206980211	0.7288006979603513
S3_source_publication_split	topology_only	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.668256863002215	0.7934096340316121	0.641321243523316	0.26395145394617314	0.5356890589023127	0.6245432233433323	0.22335915123288827	0.10396072089802179	0.92	0.752183262747556	0.8265695420457444
S3_source_publication_split	motif_only	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.478132752043783	0.7600870721815274	0.6266430324515954	0.17720745371565402	0.5718600034389508	0.5937346604854103	0.2491510855454988	0.17761697751461147	0.76	0.7182180162353127	0.8043274324708132
S3_source_publication_split	sequence_logistic	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.5267662871415073	0.705033385610505	0.563198800109081	0.12126204792449322	0.5570546966350527	0.5631783474229615	0.3283497515391487	0.28326304282061776	0.72	0.659508188288569	0.7629370765663525
S3_source_publication_split	sequence_random_forest	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.6304872941934824	0.8096663640414765	0.6773111535314971	0.16456017047823218	0.575684816233631	0.5864125988546496	0.20061746418868306	0.06489141521678764	0.92	0.7700244316275751	0.8512598967739519
S3_source_publication_split	ptm_delta_only	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.4112837246048438	0.715387122748177	0.5896373056994819	0.12872319601806684	0.5637015200625908	0.5627215707662939	0.2493965226366659	0.16414758400923413	0.74	0.6723864684765893	0.7756773481690272
S3_source_publication_split	counterfactual_no_ptmchem_logistic	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.9268853087572687	0.7244930573010224	0.5919007362967003	0.09757374747148558	0.483230146736216	0.5480569948186529	0.316835343829399	0.2781148629316327	0.72	0.6782279926750389	0.7750657615685382
S3_source_publication_split	counterfactual_logistic	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.8677337488423132	0.722171829301532	0.5856558494682301	0.11608286871949913	0.5239827965163866	0.560553586037633	0.32303905048913156	0.2911174401452986	0.7	0.6756169825386967	0.771712981147263
S3_source_publication_split	counterfactual_mlp	2677	574	573	0.69331341053418	0.7142857142857143	0.6631762652705061	0.8058499336242676	0.7740156005584238	0.6358876465775838	0.17374819221612686	0.5783664459161147	0.5915121352604309	0.28280774666257985	0.23522773175703499	0.9	0.738528743231457	0.8371040992649565
